date,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
5/12/2017,knife,51,Male,Black,Philadelphia,PA,FALSE,other,Not fleeing,FALSE
2/4/2015,gun,51,Male,Black,Lorena,TX,FALSE,attack,Car,FALSE
3/23/2017,machete,51,Male,Black,Des Moines,WA,TRUE,other,Not fleeing,FALSE
4/22/2015,knife,51,Male,Hispanic,Bisbee,AZ,FALSE,other,Not fleeing,FALSE
9/15/2015,gun,51,Male,Hispanic,Miami,FL,TRUE,undetermined,Car,FALSE
4/5/2015,knife,51,Male,White,Phoenix,AZ,TRUE,other,Not fleeing,FALSE
11/24/2017,unknown weapon,51,Male,White,Yuma,AZ,FALSE,undetermined,Not fleeing,FALSE
1/7/2018,unarmed,51,Male,White,Sedona,AZ,TRUE,other,Not fleeing,FALSE
8/2/2016,undetermined,51,Male,White,Castaic,CA,FALSE,other,Foot,FALSE
3/23/2016,gun,51,Male,White,Thornton,CO,FALSE,attack,Not fleeing,FALSE
10/6/2017,gun,51,Male,White,Golden,CO,FALSE,attack,Car,FALSE
2/16/2016,knife,51,Male,White,Fairfield,CT,TRUE,other,Not fleeing,FALSE
12/5/2015,straight edge razor,51,Male,White,Miami,FL,FALSE,other,Not fleeing,TRUE
6/2/2017,vehicle,51,Male,White,Yulee,FL,FALSE,attack,Car,FALSE
2/21/2015,knife,51,Male,White,Indianapolis,IN,FALSE,attack,Not fleeing,FALSE
7/3/2017,gun,51,Male,White,Fishers,IN,TRUE,attack,Not fleeing,FALSE
3/11/2016,gun,51,Male,White,Rosalia,KS,TRUE,attack,Not fleeing,TRUE
6/1/2016,gun,51,Male,White,Berea,KY,FALSE,attack,Foot,FALSE
2/7/2017,vehicle,51,Male,White,Richmond,KY,FALSE,other,,FALSE
3/28/2018,gun,51,Male,White,Elizabethtown,KY,FALSE,attack,Not fleeing,FALSE
7/5/2017,gun,51,Male,White,Madison,ME,FALSE,attack,,FALSE
6/26/2016,baseball bat,51,Male,White,Columbia Township,MI,TRUE,attack,Not fleeing,FALSE
10/4/2016,gun,51,Male,White,Hessel,MI,TRUE,other,Not fleeing,FALSE
4/15/2015,toy weapon,51,Male,White,Columbia,MO,FALSE,attack,Car,TRUE
12/11/2017,unknown weapon,51,Male,White,Great Falls,MT,FALSE,other,,FALSE
2/5/2016,gun,51,Male,White,Union Grove,NC,FALSE,attack,Foot,FALSE
6/29/2015,gun,51,Male,White,Edinburg,NY,TRUE,attack,Not fleeing,FALSE
4/22/2016,knife,51,Male,White,Berne,NY,TRUE,attack,Not fleeing,FALSE
4/23/2015,gun,51,Male,White,Rufe,OK,FALSE,attack,Not fleeing,FALSE
11/6/2015,gun,51,Male,White,Portland,OR,TRUE,attack,Not fleeing,FALSE
2/21/2017,gun,51,Male,White,Beaverton,OR,TRUE,other,Not fleeing,FALSE
3/29/2016,gun,51,Male,White,Piedmont,SC,TRUE,attack,Not fleeing,FALSE
3/27/2017,gun,51,Male,White,Lewisburg,TN,FALSE,attack,Not fleeing,FALSE
2/14/2015,gun,51,Male,White,Laredo,TX,FALSE,attack,Not fleeing,FALSE
10/5/2015,gun,51,Male,White,Hurst,TX,FALSE,attack,Foot,FALSE
12/13/2015,gun,51,Female,White,Arlington,TX,TRUE,attack,Not fleeing,FALSE
3/6/2016,gun,51,Male,White,Azle,TX,TRUE,attack,Not fleeing,FALSE
3/11/2017,gun,51,Male,White,Midlothian,TX,FALSE,attack,Not fleeing,FALSE
8/5/2015,knife,51,Male,White,Greenfield,WI,TRUE,other,Not fleeing,FALSE
2/13/2018,gun and knife,52,Male,Asian,Denver,CO,FALSE,other,Not fleeing,FALSE
